date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,q_inca,doc_inca
2022-07-05,27.09409,87951572,-68.84497,-3.000328,0.126003,24.93042,62.21707,968.1652,46.04167,5.62606,315.25,24.2575,23.08042,19.98667,15.64083,0.154,0.2157917,0.271,0.332,0.2,5.780724,10.4518,2.03079,5.202,2.21
2022-07-06,26.68777,88021572,-114.8092,-12.0793,0.148844,22.51375,82.71649,969.3419,83.875,7.965768,124.7083,21.9325,22.36375,20.21167,15.74917,0.273375,0.22,0.2711667,0.332,24,2.248964,12.5409,2.66121,6.331,2.328
2022-07-07,26.81678,88021572,-17.72541,-1.237639,0.145594,22.56375,78.53486,969.7739,27.375,5.989234,244.5,22.09292,21.59708,20.20125,15.85333,0.341375,0.2397083,0.2697083,0.33175,2.7,4.171344,11.9354,2.55723,7.265,2.591
2022-07-08,26.97315,87513572,-75.54509,-3.666164,0.141847,23.82625,66.2283,971.0218,2.666667,5.872365,317.9583,22.61792,21.62417,20.1575,15.95542,0.299625,0.2434167,0.2657917,0.331,0,5.690021,11.4296,2.46851,7.521,2.682
2022-07-09,27.49041,87046572,-11.33538,-0.657373,0.134276,23.5325,67.33119,970.6056,11.91667,4.838293,312.9583,22.77625,22.02417,20.19708,16.0575,0.2624583,0.239875,0.2619583,0.331,0,5.493433,11.0074,2.39298,7.333,2.629
2022-07-10,27.79153,86349572,-34.96697,-1.910356,0.127936,24.0575,63.96475,967.0918,10.29167,5.401212,301.3333,23.14292,22.5825,20.29292,16.15333,0.2352083,0.2355833,0.25975,0.3306667,0,5.472735,10.6505,2.32971,6.92,2.533
2022-07-11,28.00729,85501572,-52.45046,-2.857487,0.212643,24.0075,63.40791,966.023,12.41667,6.089482,327.1667,23.42833,22.98667,20.45125,16.25125,0.2129583,0.2315833,0.258625,0.33,0,5.885642,10.3456,2.27731,6.447,2.432
2022-07-12,28.42688,84775572,-21.40726,-1.193036,0.201197,24.51792,71.21056,968.7103,10.5,5.68597,305,23.9075,23.30958,20.62833,16.35333,0.1960417,0.228125,0.2575,0.33,0.2,5.456698,10.081,2.23465,5.964,2.345
2022-07-13,28.46006,84204572,-80.57256,-3.910917,0.191389,25.40333,65.15225,969.989,13.375,5.958551,313.9583,24.78667,23.95125,20.8575,16.45958,0.182625,0.2245417,0.2560833,0.3295,0,5.813735,9.84924,2.20017,5.505,2.276
2022-07-14,28.99055,83484572,-5.154345,-0.253527,0.183802,25.35125,60.33743,968.861,18.79167,5.825829,311.7917,24.45542,23.98458,21.095,16.56792,0.1729167,0.221625,0.25575,0.329,0,5.817747,9.64503,2.17233,5.089,2.226
